"StateFIPS","State","Year","Value","Data Comment",
"36","New York","2014","22.0","",
"36","New York","2015","21.8","",
"36","New York","2016","22.0","",
"36","New York","2017","21.7","",
"36","New York","2018","21.2","",
"36","New York","2019","21.6","",
"36","New York","2020","19.2","",
"37","North Carolina","2011","17.7","",
"37","North Carolina","2012","17.7","",
"37","North Carolina","2013","18.1","",
"37","North Carolina","2014","17.5","",
"37","North Carolina","2015","18.5","",
"37","North Carolina","2016","18.1","",
"37","North Carolina","2017","17.6","",
"37","North Carolina","2018","17.8","",
"37","North Carolina","2019","18.1","",
"37","North Carolina","2020","17.1","",
"38","North Dakota","2011","21.1","",
"38","North Dakota","2012","18.9","",
"38","North Dakota","2013","19.1","",
"38","North Dakota","2014","19.5","",
"38","North Dakota","2015","18.0","",
"38","North Dakota","2016","16.3","",
"38","North Dakota","2017","21.3","",
"38","North Dakota","2018","17.9","",
"38","North Dakota","2019","18.8","",
"38","North Dakota","2020","19.5","",
"39","Ohio","2011","18.8","",
"39","Ohio","2012","18.8","",
"39","Ohio","2013","19.1","",
"39","Ohio","2014","19.1","",
"39","Ohio","2015","19.8","",
"39","Ohio","2016","19.1","",
"39","Ohio","2017","19.4","",
"39","Ohio","2018","19.4","",
"39","Ohio","2019","19.8","",
"39","Ohio","2020","18.2","",
"40","Oklahoma","2011","18.2","",
"40","Oklahoma","2012","17.9","",
"40","Oklahoma","2013","17.9","",
"40","Oklahoma","2014","19.4","",
"40","Oklahoma","2015","18.2","",
"40","Oklahoma","2016","17.4","",
"40","Oklahoma","2017","17.6","",
"40","Oklahoma","2018","16.5","",
"40","Oklahoma","2019","17.5","",
"40","Oklahoma","2020","15.9","",
"41","Oregon","2011","19.3","",
"41","Oregon","2012","18.6","",
"41","Oregon","2013","20.0","",
"41","Oregon","2014","20.4","",
"41","Oregon","2015","18.6","",
"41","Oregon","2016","19.6","",
"41","Oregon","2017","18.7","",
"41","Oregon","2018","18.3","",
"41","Oregon","2019","18.1","",
"41","Oregon","2020","16.7","",
"42","Pennsylvania","2011","21.9","",
