"StateFIPS","State","Year","Value","Data Comment",
"31","Nebraska","2011","8.2","",
"31","Nebraska","2012","7.1","",
"31","Nebraska","2013","6.8","",
"31","Nebraska","2014","7.2","",
"31","Nebraska","2015","6.9","",
"31","Nebraska","2016","6.8","",
"31","Nebraska","2017","7.8","",
"31","Nebraska","2018","7.3","",
"31","Nebraska","2019","7.3","",
"31","Nebraska","2020","6.2","",
"32","Nevada","2011","6.0","",
"32","Nevada","2012","5.8","",
"32","Nevada","2013","6.3","",
"32","Nevada","2014","6.0","",
"32","Nevada","2015","6.6","",
"32","Nevada","2016","6.8","",
"32","Nevada","2017","6.7","",
"32","Nevada","2018","4.7","",
"32","Nevada","2019","5.4","",
"33","New Hampshire","2011","8.4","",
"33","New Hampshire","2012","7.0","",
"33","New Hampshire","2013","6.8","",
"33","New Hampshire","2014","7.8","",
"33","New Hampshire","2015","7.3","",
"33","New Hampshire","2016","7.7","",
"33","New Hampshire","2017","8.0","",
"33","New Hampshire","2018","6.7","",
"33","New Hampshire","2019","8.5","",
"33","New Hampshire","2020","7.4","",
"34","New Jersey","2011","6.7","",
"34","New Jersey","2012","7.3","",
"34","New Jersey","2013","7.2","",
"34","New Jersey","2014","7.1","",
"34","New Jersey","2015","6.7","",
"34","New Jersey","2016","6.9","",
"34","New Jersey","2017","6.9","",
"34","New Jersey","2018","7.1","",
"34","New Jersey","2019","6.7","",
"34","New Jersey","2020","6.7","",
"35","New Mexico","2011","5.0","",
"35","New Mexico","2012","5.8","",
"35","New Mexico","2013","4.8","",
"35","New Mexico","2014","5.4","",
"35","New Mexico","2015","5.7","",
"35","New Mexico","2016","5.6","",
"35","New Mexico","2017","5.8","",
"35","New Mexico","2018","5.4","",
"35","New Mexico","2019","6.0","",
"35","New Mexico","2020","4.3","",
"36","New York","2011","6.5","",
"36","New York","2012","6.7","",
"36","New York","2013","6.7","",
"36","New York","2014","6.9","",
"36","New York","2015","6.7","",
"36","New York","2016","6.5","",
"36","New York","2017","7.0","",
"36","New York","2018","6.4","",
"36","New York","2019","6.3","",
"36","New York","2020","6.3","",
"37","North Carolina","2011","6.9","",
"37","North Carolina","2012","6.6","",
"37","North Carolina","2013","6.8","",
"37","North Carolina","2014","6.3","",
"37","North Carolina","2015","6.7","",
"37","North Carolina","2016","6.5","",
"37","North Carolina","2017","6.1","",
"37","North Carolina","2018","6.3","",
"37","North Carolina","2019","6.3","",
"37","North Carolina","2020","6.2","",
"38","North Dakota","2011","5.5","",
"38","North Dakota","2012","6.8","",
"38","North Dakota","2013","7.2","",
"38","North Dakota","2014","7.2","",
"38","North Dakota","2015","5.8","",
"38","North Dakota","2016","6.2","",
"38","North Dakota","2017","6.2","",
"38","North Dakota","2018","6.2","",
"38","North Dakota","2019","5.4","",
"38","North Dakota","2020","7.2","",
"39","Ohio","2011","6.6","",
"39","Ohio","2012","6.8","",
"39","Ohio","2013","7.6","",
"39","Ohio","2014","7.0","",
"39","Ohio","2015","7.2","",
"39","Ohio","2016","7.1","",
"39","Ohio","2017","7.3","",
"39","Ohio","2018","6.9","",
"39","Ohio","2019","7.1","",
"39","Ohio","2020","6.1","",
"40","Oklahoma","2011","6.2","",
"40","Oklahoma","2012","6.9","",
"40","Oklahoma","2013","6.9","",
"40","Oklahoma","2014","6.8","",
"40","Oklahoma","2015","7.0","",
"40","Oklahoma","2016","6.3","",
"40","Oklahoma","2017","6.3","",
"40","Oklahoma","2018","6.6","",
"40","Oklahoma","2019","6.2","",
"40","Oklahoma","2020","5.7","",
"41","Oregon","2011","7.9","",
"41","Oregon","2012","7.7","",
"41","Oregon","2013","8.0","",
"41","Oregon","2014","7.5","",
"41","Oregon","2015","7.4","",
